Age,Occupation,Risk Tolerance,Investment Duration,Financial Goals,Investment Amount,Liquidity Needs,Investment Recommendation,Annual Income
39,Lawyer,Medium,Mid-term,Marriage,188792,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,590556
41,Consultant,Low,Mid-term,Marriage,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,889818
53,Engineer,Low,Short-term,Emergency Fund,81721,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,409665
31,Lawyer,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,490588
47,Retail Worker,Medium,Long-term,Wealth Building,275706,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1289250
56,Business Owner,Low,Mid-term,Marriage,71695,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1245882
52,Consultant,High,Mid-term,Marriage,297905,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,417309
55,Teacher,Low,Long-term,Retirement,341753,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,571691
38,Doctor,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1293602
61,IT Professional,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,599051
26,Banker,Low,Mid-term,Marriage,122171,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,914027
46,Engineer,Low,Mid-term,Education,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,354472
57,Consultant,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,726766
30,Retail Worker,Medium,Mid-term,Marriage,413800,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1071841
26,Government Employee,Low,Short-term,Emergency Fund,72613,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,727439
35,Engineer,Low,Long-term,Wealth Building,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,902602
31,Lawyer,Low,Short-term,Emergency Fund,98500,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1041427
22,Engineer,High,Long-term,Retirement,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,492930
28,Banker,Medium,Long-term,Retirement,241431,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,907263
28,Lawyer,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,309408
46,Lawyer,Low,Short-term,Emergency Fund,365004,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,752959
40,Government Employee,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1140224
55,Doctor,Medium,Long-term,Retirement,379223,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,789103
40,Retail Worker,Low,Long-term,Wealth Building,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,722322
20,Lawyer,Medium,Long-term,Retirement,328907,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,410525
20,Lawyer,High,Long-term,Retirement,24032,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,910184
19,Teacher,Low,Long-term,Wealth Building,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1106036
33,Lawyer,Low,Short-term,Emergency Fund,203721,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1105940
53,Student,High,Long-term,Wealth Building,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,60737
23,Consultant,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,330601
24,Self-Employed,Low,Mid-term,Marriage,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,789043
40,Artist,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,919697
47,Freelancer,Medium,Mid-term,Education,87772,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1109675
60,Retail Worker,High,Short-term,Emergency Fund,179631,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,359965
25,Teacher,Low,Long-term,Wealth Building,69447,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1132522
24,Banker,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,965303
19,Engineer,Medium,Long-term,Retirement,3017,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,649327
52,Teacher,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,629805
18,Service Industry,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,986792
43,Freelancer,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,472939
31,Business Owner,High,Short-term,Emergency Fund,243978,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,732355
47,Engineer,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,515289
41,Engineer,Low,Long-term,Wealth Building,88895,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,768793
60,IT Professional,Low,Mid-term,Marriage,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,401807
19,Service Industry,Medium,Short-term,Emergency Fund,89815,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,427692
39,Self-Employed,High,Long-term,Wealth Building,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,792516
45,Doctor,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,518631
23,Student,High,Mid-term,Education,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,65273
42,Business Owner,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,791164
54,Consultant,Medium,Short-term,Emergency Fund,80142,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,339611
37,Teacher,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,722616
40,Artist,Medium,Mid-term,Marriage,462579,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,525198
40,Artist,High,Long-term,Retirement,359527,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,368541
30,Engineer,Low,Mid-term,Education,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,427098
20,Self-Employed,High,Mid-term,Education,341854,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1227648
54,Government Employee,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,342999
28,Government Employee,High,Mid-term,Education,342236,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,369937
49,Consultant,Low,Mid-term,Marriage,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,670669
52,Retail Worker,Medium,Long-term,Wealth Building,238622,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1034856
47,Business Owner,High,Mid-term,Marriage,33876,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1038852
53,Lawyer,High,Long-term,Wealth Building,32572,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1044248
59,Government Employee,Medium,Mid-term,Marriage,280813,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,433232
50,IT Professional,Low,Mid-term,Education,265746,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1116868
52,Business Owner,Low,Long-term,Retirement,492619,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,928688
60,Business Owner,Low,Long-term,Retirement,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,906488
38,Doctor,Low,Long-term,Wealth Building,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,654868
55,Service Industry,Medium,Short-term,Emergency Fund,295459,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1042381
54,IT Professional,Medium,Short-term,Emergency Fund,488864,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1099264
41,Consultant,Medium,Mid-term,Education,472931,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1021515
26,Service Industry,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,841796
56,Service Industry,High,Long-term,Retirement,222238,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,618560
44,Lawyer,Medium,Mid-term,Education,221030,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,764145
55,Lawyer,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1053096
47,IT Professional,High,Mid-term,Education,175628,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1075304
40,Artist,Low,Mid-term,Marriage,173643,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,581659
45,Student,Medium,Long-term,Retirement,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,93846
26,IT Professional,Medium,Mid-term,Education,486991,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,914067
60,Artist,Medium,Long-term,Retirement,6811,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,791207
51,IT Professional,High,Long-term,Retirement,229997,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,960972
56,Student,Medium,Mid-term,Education,80000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,81820
46,IT Professional,Low,Mid-term,Marriage,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1210437
42,Banker,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1068610
25,Freelancer,High,Mid-term,Marriage,323293,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,931908
48,Doctor,Medium,Mid-term,Education,326610,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,480127
56,Self-Employed,Low,Mid-term,Education,125783,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,589068
36,Artist,Low,Long-term,Retirement,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1122554
42,Doctor,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1194058
39,Freelancer,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,619185
19,Retail Worker,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,343971
34,Service Industry,Low,Long-term,Retirement,134785,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1283471
61,Banker,Low,Long-term,Retirement,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1003366
18,Business Owner,Medium,Long-term,Wealth Building,497608,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1088134
23,Retail Worker,Medium,Mid-term,Marriage,170580,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,302901
22,Government Employee,Low,Mid-term,Education,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,893329
39,Consultant,Medium,Mid-term,Education,22291,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,510326
30,Teacher,Low,Long-term,Retirement,409622,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1167019
45,Self-Employed,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1217682
63,Teacher,Medium,Long-term,Wealth Building,98146,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,347956
21,IT Professional,High,Mid-term,Education,58474,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1276579
61,Freelancer,Low,Short-term,Emergency Fund,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,957578
64,Service Industry,Low,Long-term,Retirement,339750,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,301093
25,Artist,High,Long-term,Wealth Building,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,598368
44,Doctor,Low,Mid-term,Education,195700,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,976597
36,Government Employee,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,618544
51,Consultant,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1017503
49,Freelancer,High,Mid-term,Education,232685,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,683592
23,IT Professional,High,Long-term,Wealth Building,199678,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,685691
63,Service Industry,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,909978
55,Freelancer,High,Mid-term,Marriage,323251,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,375344
18,Engineer,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,571729
21,Engineer,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,821540
59,IT Professional,Low,Short-term,Emergency Fund,78327,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,662765
35,Consultant,Low,Long-term,Retirement,93316,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,807004
46,Self-Employed,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,787338
60,Engineer,High,Long-term,Wealth Building,376447,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,790732
41,Engineer,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1281142
34,Student,High,Mid-term,Marriage,33544,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,70219
50,Retail Worker,Low,Mid-term,Marriage,344411,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,626349
44,Student,High,Short-term,Emergency Fund,71653,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,83754
42,Teacher,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,406593
36,Student,Low,Mid-term,Education,80000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,91496
20,Engineer,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,998803
34,Lawyer,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,675292
42,Service Industry,Medium,Long-term,Wealth Building,468961,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,591904
23,Engineer,High,Short-term,Emergency Fund,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1023065
45,IT Professional,High,Short-term,Emergency Fund,338532,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,784601
20,Lawyer,Medium,Long-term,Retirement,282504,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,551888
21,Engineer,Low,Mid-term,Education,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,618302
47,Consultant,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,841506
52,Retail Worker,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,811962
22,Business Owner,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,700883
55,Lawyer,Medium,Short-term,Emergency Fund,232281,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1128186
36,Business Owner,Low,Long-term,Wealth Building,374377,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1043707
56,Freelancer,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,301160
49,Consultant,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,995114
54,IT Professional,Low,Short-term,Emergency Fund,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1041654
26,Government Employee,Medium,Long-term,Wealth Building,231864,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,637339
26,Engineer,Low,Mid-term,Education,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1290465
62,Lawyer,Low,Long-term,Wealth Building,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1164329
24,Engineer,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,310116
48,Student,Medium,Long-term,Retirement,80000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,65906
33,IT Professional,High,Short-term,Emergency Fund,14973,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,915443
57,Government Employee,Low,Long-term,Retirement,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,745547
38,Consultant,Medium,Mid-term,Marriage,239770,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1292925
30,Business Owner,Medium,Short-term,Emergency Fund,274705,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,529999
39,Engineer,High,Mid-term,Education,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,856564
54,Government Employee,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,388319
56,Government Employee,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,715888
32,Lawyer,Low,Mid-term,Education,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1104152
50,Lawyer,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,594594
57,IT Professional,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1041721
30,Business Owner,Low,Long-term,Wealth Building,37386,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,722637
52,Doctor,High,Long-term,Wealth Building,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1130852
57,Service Industry,Medium,Long-term,Wealth Building,162497,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1078185
64,Consultant,High,Mid-term,Education,436113,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,324602
62,Banker,High,Mid-term,Marriage,457647,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,477883
53,Engineer,Medium,Short-term,Emergency Fund,485001,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,488586
30,Teacher,High,Mid-term,Marriage,321758,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,741640
49,Consultant,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,793873
31,Business Owner,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1022099
44,Banker,Medium,Mid-term,Marriage,184806,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,576375
38,Lawyer,Medium,Mid-term,Marriage,90370,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,861258
31,IT Professional,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,449550
50,Doctor,Medium,Long-term,Wealth Building,411282,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,373861
